OBJECTID,fips,Year_1983,Year_1984,Year_1985,Year_1986,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991,Year_1992,Year_1993,Year_1994,Year_1995,Year_1996,Year_1997,Year_1998,Year_1999,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Sum_All_Years
1,0,14642.9208984,17764.1191406,15409.0791016,16239.8437500,16245.1943359,14602.4443359,12433.0781250,14242.0156250,11594.1425781,7060.8178711,7174.2939453,4897.8637695,6646.9370117,4722.3349609,5209.8920898,5521.5898438,3826.5610352,6387.0488281,4758.6259766,2890.0900879,1238.2790527,989.7169800,1480.5889893,2527.0349121,1678.8310547,1407.5379639,5277.9570313,3253.3339844,3331.7561035,667.0000000,2018.2170410,216139.1250000
2,01007,185.1289978,37.7999992,103.3830032,661.4279785,505.9509888,1.0369999,53.3120003,3.4360001,154.6230011,239.2469940,161.0429993,137.2239990,0.0000000,32.7350006,21.1989994,22.2269993,44.5159988,65.5100021,82.9059982,10.5719995,0.0000000,0.0000000,57.7999992,18.5189991,32.6699982,105.0820007,0.0000000,230.5639954,174.5579987,31.0000000,56.0040016,3229.4750977
3,01009,189.0240021,467.3290100,738.2020264,104.7549973,239.6920013,870.9819946,209.2630005,111.2340012,45.2109985,889.7280273,19.6770000,683.4710083,19.5429993,0.0000000,5.7649999,190.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,148.9940033,287.9849854,57.0000000,28.8069992,5306.6621094
4,01043,962.5949707,925.5380249,558.8430176,1535.0889893,603.4790039,571.1069946,453.1390076,514.2390137,694.7730103,680.4710083,704.0510254,157.3780060,90.1600037,81.8669968,74.2659988,45.0110016,82.0220032,17.0060005,0.0000000,0.0000000,177.3809967,473.9819946,760.0599976,633.8599854,502.5960083,153.6269989,121.8600006,69.0350037,0.0000000,0.0000000,0.0000000,11643.4355469
5,01049,73.7639999,23.7590008,34.7999992,21.8129997,20.1580009,4.3140001,4.2010002,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,182.8090057
6,01057,1117.4470215,921.3859863,49.0530014,25.2339993,0.0000000,5.0970001,19.9370003,917.3309937,331.5079956,34.6739998,32.7360001,29.1940002,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9.7250004,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,356.0000000,0.0000000,3849.3222656
7,01059,215.4869995,269.1730042,266.0339966,12.8050003,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,46.0489998,68.0199966,84.2679977,189.9839935,152.5910034,297.0119934,158.1430054,109.5299988,197.9120026,26.0000000,235.0859985,2328.0939941
8,01071,40.0789986,35.0400009,93.2389984,7.7470002,0.0000000,0.0000000,27.8390007,59.4309998,0.0000000,34.7490005,115.6829987,24.4909992,45.7639999,65.8109970,44.7159996,0.0000000,0.0000000,4.7189999,1.2000000,0.0000000,555.1870117,83.6849976,106.6419983,161.3719940,247.2270050,330.8659973,184.5169983,33.6230011,28.5809994,135.0000000,69.3389969,2536.5473633
9,01073,3775.5209961,3371.0471191,4351.1791992,2598.6940918,4730.9199219,4397.3208008,3756.4160156,3880.8378906,2677.3410645,2513.7028809,2403.1630859,1994.3399658,2485.7509766,1822.3199463,1446.8020020,1295.0400391,872.8709717,539.7819824,692.4429932,637.3880005,824.5150146,1777.8170166,2086.9819336,2288.5778809,1232.4079590,2296.0859375,2043.3680420,1963.7280273,1678.5629883,1486.0000000,1658.2199707,69579.1328125
10,01093,242.5989990,78.6819992,92.8740005,92.1790009,150.4510040,263.2340088,322.7019958,255.4029999,255.5330048,487.7250061,299.8410034,255.7649994,1017.0939941,190.5749969,129.6529999,19.4820004,44.8079987,80.2979965,70.0849991,51.6780014,36.5040016,55.5519981,156.7189941,177.6150055,60.2550011,49.5810013,198.4299927,79.1740036,119.2399979,14.0000000,0.0000000,5347.7309570
11,01117,317.2980042,345.7340088,22.6459999,4.1680002,17.2619991,11.6910000,689.0000000,0.0000000,0.0000000,218.7859955,385.6889954,418.0000000,856.6810303,877.7910156,853.2919922,422.7449951,0.0000000,24.5000000,44.2299995,29.7770004,40.0859985,101.1200027,102.4830017,194.8350067,412.8290100,538.7479858,514.3679810,323.0000000,323.0880127,74.0000000,182.3910065,8346.2382813
12,01125,2605.4350586,3159.4060059,2388.6140137,3601.5239258,2363.9340820,3035.1789551,3026.2390137,2992.0500488,2559.9221191,1586.3189697,222.9179993,2240.3010254,1288.0369873,1350.0229492,581.6690063,660.0130005,560.0579834,579.4509888,1013.7420044,1576.3210449,1070.2270508,1123.9649658,2070.2180176,2398.3869629,2141.3049316,1825.5469971,1490.9940186,1960.5279541,1038.8869629,2272.0000000,922.4689941,55705.6757813
13,01127,8322.2001953,8763.9306641,8819.2587891,5628.6728516,4732.3691406,5421.1899414,3541.9460449,5808.8452148,4611.1440430,5470.1450195,4571.8442383,4855.4638672,3394.4240723,2659.8820801,4052.4250488,2359.6220703,2121.9570313,1998.4749756,2120.2380371,2223.6489258,2642.7451172,2564.5000000,3156.2409668,3483.2500000,2906.0239258,4617.3369141,3249.7409668,3028.7949219,2807.5358887,485.0000000,2383.0949707,122801.9375000
14,01133,330.0660095,414.1579895,433.3559875,368.0920105,443.8190002,513.6790161,586.6389771,884.4140015,557.8010254,506.8890076,558.9650269,451.6570129,309.5620117,200.7960052,243.1179962,225.3589935,338.5180054,332.1220093,322.4620056,275.9719849,90.8489990,104.1859970,311.7070007,359.1910095,737.9000244,615.9639893,428.6600037,685.4810181,697.4229736,105.0000000,473.9330139,12907.7382813
15,02090,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
16,02188,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,750.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,750.0000000
17,02290,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,143.0000000,0.0000000,143.0000000
18,04017,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,432.0000000,0.0000000,432.0000000
19,05071,15.0000000,15.4870005,13.6689997,11.2799997,10.0000000,14.0000000,733.1450195,19.5139999,25.8080006,27.9820004,25.4850006,25.3230000,24.0750008,16.4099998,13.7550001,20.3029995,18.4340000,6.1020002,3.7190001,499.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1538.4909668
