Historic Coal Production Data: 1991,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1991,102868,Yeshic Mine,Alabama,Bibb,Appalachia Southern,Active,Surface,-,Mine only,"B & G Mining Company, Inc.","309 Plant Street, Oakman, AL 35579",-,"154,623"
1991,102791,Straight Mountain Mine,Alabama,Blount,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Co., Inc","300 Bolus Circle, Warrior, AL 35180",-,"6,446"
1991,102831,Lehigh,Alabama,Blount,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Hallmark Trucking, Inc.","P O Box 87, Locust Fork, AL 35097",Non-Union,"3,053"
1991,102833,Helms Mine,Alabama,Blount,Appalachia Southern,Active,Surface,-,Mine only,"R J R Mining Co., Inc.","2870 Old Rocky Ridge S10, Birmingham, AL 35243",-,"35,712"
1991,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","Post Office Box 1549, Jasper, AL 35502",United Mine Workers of America,"608,310"
1991,102836,Crane Hill,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Myers Coal Company,"5516 Mccaleb Drive, Dora, AL 35062",-,"86,463"
1991,100759,North River #1 Mine Undergroun,Alabama,Fayette,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mn,"P O Drawer 519, Berry, AL 35546",United Mine Workers of America,"1,953,595"
1991,102808,Berry-Barnes Mine,Alabama,Fayette,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,"Nuggett Coal Company, Inc.","300 Vestavia Pky Ste 390, Birmingham, AL 35216",-,"25,084"
1991,102823,Howard Mine,Alabama,Fayette,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Company,"200 Cahaba Park So Ste11, Birmingham, AL 35242",-,"6,424"
1991,102885,Cane Creek Mine,Alabama,Fayette,Appalachia Southern,Active,Surface,-,Mine only,Jack Trotter Jr. Coal Co.,"Route 8 Box 997, Jasper, AL 35501",-,300
1991,100323,Chetopa,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","Route 1 Box 380, Graysville, AL 35073",United Mine Workers of America,"727,577"
1991,100406,Beltona Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35501",United Mine Workers of America,"521,165"
1991,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"883,351"
1991,100742,Short Creek 8750,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"7,672"
1991,100758,No 3-Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P O Box 830079, Birmingham, AL 35283",United Mine Workers of America,"2,218,675"
1991,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,U S Steel Mining Company Inc,"P O Box 2200, Bessemer, AL 35021",United Mine Workers of America,"1,794,291"
