Year,MSHA ID,Mine Name,MineState,MineCounty,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1996,102838,Hebron Mine,Alabama,Bibb,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke,"200 Cahaba Park S Ste 11, Birmingham, AL 35242",Non-Union,"32,735"
1996,102836,Crane Hill,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Myers Coal Company,"5516 Mccaleb Drive, Dora, AL 35062",Non-Union,"64,738"
1996,103062,D & W Mine #1,Alabama,Cullman,Appalachia Southern,Active,Surface,-,Mine only,"Black Warrior Minerals, Inc.","P O Box 1190, Sumiton, AL 35148",-,"17,129"
1996,100759,North River #1 Mine Undergroun,Alabama,Fayette,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mn,"22794 P&m Mining Road, Berry, AL 35546",United Mine Workers of America,"2,066,258"
1996,103021,Mine No. 3,Alabama,Jackson,Appalachia Southern,Active,Surface,-,Mine only,"Highland Mining Company, Inc.","No. 3 Eagle View, Shoal Creek, AL 35242",-,"65,811"
1996,100323,Chetopa,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"605,024"
1996,100445,Ebs Construction Inc Bradford,Alabama,Jefferson,Appalachia Southern,Active,Surface,-,Mine only,"Ebs Construction, Inc.","P O Box 532, Mccalla, AL 35111",-,"38,706"
1996,100627,Flat Top Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P O Box 1549, Jasper, AL 35502",United Mine Workers of America,"905,900"
1996,100758,No 3-Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"4301 Sealy Ann Mt. Road, Adger, AL 35006",United Mine Workers of America,"2,073,820"
1996,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,U. S. Steel Mining Company Llc,"P O Box 2200, Bessemer, AL 35021",-,"2,820,487"
1996,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"C & H Mining Company, Inc.","P O Box 70250, Tuscaloosa, AL 35407",-,"215,385"
