Historic Coal Production Data: 2001,,,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons),Average Employees,Labor Hours
2001,102838,Hebron Mine,Alabama,Bibb,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke,"2477 Valleydale Rd. S.B3, Birmingham, AL 35244",,"82,906",4,"11,052"
2001,103006,Bledsoe Mine No. 1,Alabama,Jackson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,"Al Select, Inc.","P.O. Box 1021, Gilbert, WV 25621",,"1,200",4,"4,180"
2001,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,U S Steel Mining Company Llc,"8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0,54,"116,162"
2001,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,U. S. Steel Mining Company Llc,"8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,"1,838,437",291,"643,173"
2001,101254,Sayre Prep Plant,Alabama,Jefferson,Appalachia Southern,Permanently abandoned,Surface,Indepedent Producer Operator,Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",,0,6,"4,393"
2001,101254,Sayre Prep Plant,Alabama,Jefferson,Appalachia Southern,Permanently abandoned,Underground,Indepedent Producer Operator,Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",,0,5,"4,393"
2001,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"C & H Mining Company, Inc.","P O Box 70250, Tuscaloosa, AL 35407",,"280,729",25,"56,016"
2001,102760,Merritt Rogers Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"M S & R Equipment Co., Inc.","2361 Cumberland Lake Dr, Pinson, AL 35126",,"37,674",11,"15,636"
2001,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,"4,115,795",646,"1,439,203"
2001,102951,Majestic,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Rjr Mining Company, Inc.","400 Union Hill Drive,s35, Birmingham, AL 35209",,"55,005",4,"8,400"
2001,102957,K-Lee Processing Inc,Alabama,Jefferson,Appalachia Southern,Permanently abandoned,Underground,Contractor,Mine and Preparation Plant,K-Lee Processing Inc,"P.O. Box 19127, Birmingham, AL 35219",United Mine Workers of America,0,7,"15,404"
2001,103032,North Johns,Alabama,Jefferson,Appalachia Southern,Permanently abandoned,Surface,Indepedent Producer Operator,Preparation Plant,R & S Resource Recovery Inc,"1739 Buttermilk Rd, Cordova, AL 35550",,0,3,"3,367"
2001,103032,North Johns,Alabama,Jefferson,Appalachia Southern,Permanently abandoned,Underground,Indepedent Producer Operator,Preparation Plant,R & S Resource Recovery Inc,"1739 Buttermilk Rd, Cordova, AL 35550",,0,2,"3,367"
2001,103136,Cooper Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Best Coal, Inc.","Post Office Box 1253, Cullman, AL 35056",,"103,229",11,"27,094"
2001,103146,Birmingport Plant,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Surface,Operating Subsidiary,Preparation Plant,"Birmingham Syn Fuel, Llc","19337 Hwy 269, Quinton, AL 35130",,0,4,"4,134"
2001,103146,Birmingport Plant,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,"Birmingham Syn Fuel, Llc","19337 Hwy 269, Quinton, AL 35130",,0,5,"4,134"
2001,103150,Littleton Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Twin Pines Coal Co, Inc.","1874 Co Rd 15, Bremen, AL 35033",,"92,034",14,"37,650"
2001,103178,Alabama Fuel Products,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Preparation Plant,"Alabama Coal Recovery, Llc","1329 Forestdale Blvd,s303, Birmingham, AL 35214",,0,39,"68,059"
2001,103178,Alabama Fuel Products,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,"Alabama Coal Recovery, Llc","1329 Forestdale Blvd,s303, Birmingham, AL 35214",,0,59,"102,089"
2001,103182,Fishtrap Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Rock & Roll Coal Inc,"3705 Cumberland Trace, Birmingham, AL 35242",,"123,772",7,"17,343"
2001,102969,Pull Tight Washer,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Big Mitch Prep Co., Inc.","P O Box 321, Brilliant, AL 35548",,0,6,"11,379"
2001,103069,Blaylock Mine,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Marshco, Inc.","P.O. Box 438, Brilliant, AL 35548",,"70,085",8,"14,734"
2001,102908,New Century No. 1 Mine,Alabama,Shelby,Appalachia Southern,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,"New Century Mining, Inc.","Post Office Box 1781, Alabaster, AL 35007",,"41,958",42,"37,422"
2001,102976,Piney Woods Prep Plant,Alabama,Shelby,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,"New Century Mining, Inc.","Post Office Box 1781, Alabaster, AL 35007",,0,4,"5,374"
2001,102976,Piney Woods Prep Plant,Alabama,Shelby,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,"New Century Mining, Inc.","Post Office Box 1781, Alabaster, AL 35007",,0,4,"5,374"
2001,103217,Coke Mine # 1,Alabama,Shelby,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,New Century Mining Inc,"P.O. Box 1781, Alabaster, AL 35007",,"2,272",21,"20,596"
2001,100759,North River # 1 Underground Mi,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The Pittsburg & Midway Coal Mi,"12398 New Lexington Rd, Berry, AL 35546",United Mine Workers of America,"3,229,782",325,"693,202"
2001,101247,No 4 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"14730 Lock 17 Road, Brookwood, AL 35444",United Mine Workers of America,"2,537,247",385,"804,133"
2001,101322,No.  5 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Jim Walter Resources, Inc.","12972 Lock 17 Rd, Brookwood, AL 35444",United Mine Workers of America,"1,466,897",389,"764,219"
2001,101401,No. 7 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Jim Walter Resources, Inc.","18069 Hannah Creek Rd, Brookwood, AL 35444",United Mine Workers of America,"1,828,387",417,"904,471"
